code,name,search_name,label
000001,平安银行,平安银行,000001 平安银行
000002,万  科Ａ,万科ａ,000002 万  科Ａ
000004,*ST国华,*st国华,000004 *ST国华
000006,深振业Ａ,深振业ａ,000006 深振业Ａ
000007,全新好,全新好,000007 全新好
000008,神州高铁,神州高铁,000008 神州高铁
000009,中国宝安,中国宝安,000009 中国宝安
000010,美丽生态,美丽生态,000010 美丽生态
000011,深物业A,深物业a,000011 深物业A
000012,南  玻Ａ,南玻ａ,000012 南  玻Ａ
000014,沙河股份,沙河股份,000014 沙河股份
000016,深康佳Ａ,深康佳ａ,000016 深康佳Ａ
000017,深中华A,深中华a,000017 深中华A
000019,深粮控股,深粮控股,000019 深粮控股
000020,深华发Ａ,深华发ａ,000020 深华发Ａ
000021,深科技,深科技,000021 深科技
000025,特  力Ａ,特力ａ,000025 特  力Ａ
000026,飞亚达,飞亚达,000026 飞亚达
000027,深圳能源,深圳能源,000027 深圳能源
000028,国药一致,国药一致,000028 国药一致
000029,深深房Ａ,深深房ａ,000029 深深房Ａ
000030,富奥股份,富奥股份,000030 富奥股份
000031,大悦城,大悦城,000031 大悦城
000032,深桑达Ａ,深桑达ａ,000032 深桑达Ａ
000034,神州数码,神州数码,000034 神州数码
000035,中国天楹,中国天楹,000035 中国天楹
000036,华联控股,华联控股,000036 华联控股
000037,深南电A,深南电a,000037 深南电A
000039,中集集团,中集集团,000039 中集集团
000042,中洲控股,中洲控股,000042 中洲控股
000045,深纺织Ａ,深纺织ａ,000045 深纺织Ａ
000048,京基智农,京基智农,000048 京基智农
000049,德赛电池,德赛电池,000049 德赛电池
000050,深天马Ａ,深天马ａ,000050 深天马Ａ
000055,方大集团,方大集团,000055 方大集团
000056,皇庭国际,皇庭国际,000056 皇庭国际
000058,深 赛 格,深赛格,000058 深 赛 格
000059,华锦股份,华锦股份,000059 华锦股份
000060,中金岭南,中金岭南,000060 中金岭南
000061,农 产 品,农产品,000061 农 产 品
000062,深圳华强,深圳华强,000062 深圳华强
000063,中兴通讯,中兴通讯,000063 中兴通讯
000065,北方国际,北方国际,000065 北方国际
