date,open,high,low,close,volume
1984-09-07,-9.8214,-9.8198,-9.8225,-9.8214,2981600.0
1984-09-10,-9.8214,-9.8209,-9.8242,-9.822,2346400.0
1984-09-11,-9.8209,-9.8175,-9.8209,-9.8198,5444000.0
1984-09-12,-9.8198,-9.8192,-9.8231,-9.8231,4773600.0
1984-09-13,-9.817,-9.8164,-9.817,-9.817,7429600.0
1984-09-14,-9.8164,-9.8125,-9.8164,-9.8153,8826400.0
1984-09-17,-9.812,-9.8103,-9.812,-9.812,6886400.0
1984-09-18,-9.812,-9.8108,-9.8164,-9.8164,3495200.0
1984-09-19,-9.8164,-9.8153,-9.8192,-9.8192,3816000.0
1984-09-20,-9.8187,-9.8175,-9.8187,-9.8187,2387200.0
1984-09-21,-9.8187,-9.8153,-9.8214,-9.8198,3591200.0
1984-09-24,-9.8198,-9.8192,-9.8209,-9.8209,2833600.0
1984-09-25,-9.8214,-9.8214,-9.8231,-9.8231,5977600.0
1984-09-26,-9.8231,-9.8181,-9.8248,-9.8248,3987200.0
1984-09-27,-9.8248,-9.8242,-9.8248,-9.8248,3796000.0
1984-09-28,-9.8248,-9.8248,-9.8298,-9.8276,8344800.0
1984-10-01,-9.8281,-9.8281,-9.8303,-9.8303,3521600.0
1984-10-02,-9.8292,-9.8253,-9.8292,-9.8292,4258400.0
1984-10-03,-9.8276,-9.8259,-9.8276,-9.8276,4335200.0
1984-10-04,-9.8265,-9.8253,-9.8265,-9.8265,4482400.0
1984-10-05,-9.8265,-9.8265,-9.8292,-9.8287,3510400.0
1984-10-08,-9.8287,-9.8281,-9.8287,-9.8287,1721600.0
1984-10-09,-9.8287,-9.8281,-9.8298,-9.8298,4515200.0
1984-10-10,-9.8298,-9.8298,-9.8332,-9.8332,13070400.0
1984-10-11,-9.8332,-9.8303,-9.8337,-9.8337,6553600.0
1984-10-12,-9.8337,-9.8332,-9.8393,-9.8382,9522400.0
1984-10-15,-9.8326,-9.8315,-9.8326,-9.8326,8715200.0
1984-10-16,-9.8326,-9.832,-9.8332,-9.8332,4246400.0
1984-10-17,-9.8287,-9.8281,-9.8287,-9.8287,5636000.0
1984-10-18,-9.8253,-9.8248,-9.8253,-9.8253,8842400.0
1984-10-19,-9.8253,-9.8175,-9.8259,-9.8253,11673600.0
1984-10-22,-9.8253,-9.8237,-9.8265,-9.8265,4108800.0
1984-10-23,-9.8237,-9.8225,-9.8237,-9.8237,6668800.0
1984-10-24,-9.8225,-9.8214,-9.8225,-9.8225,5989600.0
1984-10-25,-9.8225,-9.8225,-9.827,-9.827,5676000.0
1984-10-26,-9.827,-9.827,-9.8303,-9.8298,4113600.0
1984-10-29,-9.8292,-9.8287,-9.8292,-9.8292,1836000.0
1984-10-30,-9.8281,-9.827,-9.8281,-9.8281,2677600.0
1984-10-31,-9.8281,-9.827,-9.8287,-9.8287,2191200.0
1984-11-01,-9.8281,-9.827,-9.8281,-9.8281,1680000.0
1984-11-02,-9.8281,-9.8276,-9.8292,-9.8287,1004800.0
1984-11-05,-9.8287,-9.8265,-9.8292,-9.8292,3764800.0
1984-11-06,-9.8225,-9.822,-9.8225,-9.8225,8073600.0
1984-11-07,-9.8225,-9.822,-9.8248,-9.8248,8286400.0
1984-11-08,-9.8248,-9.8248,-9.8292,-9.8292,3162400.0
1984-11-09,-9.8292,-9.8287,-9.837,-9.8359,10518400.0
1984-11-12,-9.832,-9.8315,-9.832,-9.832,4070400.0
1984-11-13,-9.832,-9.8298,-9.8348,-9.8348,4548800.0
1984-11-14,-9.8337,-9.8326,-9.8337,-9.8337,3752800.0
1984-11-15,-9.8337,-9.8326,-9.8337,-9.8337,3833600.0
1984-11-16,-9.8337,-9.832,-9.8365,-9.8359,5920000.0
1984-11-19,-9.8359,-9.8354,-9.8421,-9.8421,8321600.0
1984-11-20,-9.8387,-9.8382,-9.8387,-9.8387,9424800.0
1984-11-21,-9.8365,-9.8359,-9.8365,-9.8365,6418400.0
1984-11-23,-9.8354,-9.832,-9.8354,-9.8337,4904800.0
1984-11-26,-9.8326,-9.8326,-9.8326,-9.8326,3636000.0
1984-11-27,-9.8298,-9.8287,-9.8298,-9.8298,4590400.0
1984-11-28,-9.8242,-9.8214,-9.8242,-9.8242,14673600.0
1984-11-29,-9.8242,-9.8242,-9.8265,-9.8265,6248800.0
1984-11-30,-9.8265,-9.8253,-9.8298,-9.8292,3906400.0
1984-12-03,-9.8292,-9.8287,-9.8309,-9.8309,3533600.0
1984-12-04,-9.8287,-9.8265,-9.8287,-9.8287,4332800.0
1984-12-05,-9.8231,-9.8231,-9.8231,-9.8231,9406400.0
1984-12-06,-9.8175,-9.817,-9.8175,-9.8175,11360000.0
1984-12-07,-9.8175,-9.8131,-9.8187,-9.8181,17696000.0
1984-12-10,-9.8181,-9.8181,-9.8203,-9.8203,4016000.0
1984-12-11,-9.8203,-9.8187,-9.822,-9.822,4432800.0
1984-12-12,-9.822,-9.822,-9.8259,-9.8259,3937600.0
1984-12-13,-9.8248,-9.8225,-9.8248,-9.8248,2424800.0
1984-12-14,-9.8248,-9.8209,-9.8248,-9.822,3475200.0
1984-12-17,-9.8192,-9.8181,-9.8192,-9.8192,4513600.0
1984-12-18,-9.812,-9.8114,-9.812,-9.812,12164800.0
1984-12-19,-9.812,-9.8114,-9.817,-9.817,11372800.0
1984-12-20,-9.817,-9.8147,-9.8175,-9.8175,5013600.0
1984-12-21,-9.8175,-9.817,-9.8203,-9.8192,4438400.0
1984-12-24,-9.817,-9.8164,-9.817,-9.817,2418400.0
1984-12-26,-9.8164,-9.8153,-9.8164,-9.8164,2444000.0
1984-12-27,-9.8158,-9.8153,-9.8158,-9.8158,3531200.0
1984-12-28,-9.8158,-9.8108,-9.8164,-9.8114,5941600.0
1984-12-31,-9.8097,-9.8091,-9.8097,-9.8097,7453600.0
1985-01-02,-9.8097,-9.8097,-9.8153,-9.8153,6272800.0
1985-01-03,-9.8131,-9.8097,-9.8131,-9.8131,5967200.0
1985-01-04,-9.8131,-9.8125,-9.8147,-9.8131,4915200.0
1985-01-07,-9.8131,-9.8125,-9.8136,-9.8136,6117600.0
1985-01-08,-9.8136,-9.8125,-9.8147,-9.8147,5040000.0
1985-01-09,-9.8114,-9.8097,-9.8114,-9.8114,5973600.0
1985-01-10,-9.8058,-9.8053,-9.8058,-9.8058,9926400.0
1985-01-11,-9.8058,-9.8047,-9.808,-9.8069,7347200.0
1985-01-14,-9.803,-9.8019,-9.803,-9.803,9691200.0
1985-01-15,-9.803,-9.8008,-9.8058,-9.8058,9476000.0
1985-01-16,-9.8047,-9.8024,-9.8047,-9.8047,6816000.0
1985-01-17,-9.8047,-9.8024,-9.8142,-9.8142,19573600.0
1985-01-18,-9.8142,-9.8091,-9.8147,-9.812,12615200.0
1985-01-21,-9.8091,-9.808,-9.8091,-9.8091,11635200.0
1985-01-22,-9.8053,-9.8047,-9.8053,-9.8053,15202400.0
1985-01-23,-9.8053,-9.8047,-9.8075,-9.8075,15384000.0
1985-01-24,-9.8075,-9.8075,-9.8103,-9.8103,14192800.0
1985-01-25,-9.8103,-9.8075,-9.8131,-9.8075,11381600.0
1985-01-28,-9.8047,-9.803,-9.8047,-9.8047,14721600.0
1985-01-29,-9.8047,-9.8036,-9.8064,-9.8064,8029600.0
1985-01-30,-9.8064,-9.8036,-9.8064,-9.8064,17624800.0
1985-01-31,-9.8064,-9.8058,-9.8103,-9.8103,9880000.0
1985-02-01,-9.8103,-9.8097,-9.8131,-9.812,4941600.0
1985-02-04,-9.8091,-9.8086,-9.8091,-9.8091,7801600.0
1985-02-05,-9.808,-9.8058,-9.808,-9.808,6824800.0
1985-02-06,-9.8058,-9.8058,-9.8058,-9.8058,6980000.0
1985-02-07,-9.8058,-9.8041,-9.8064,-9.8064,8793600.0
1985-02-08,-9.8064,-9.8058,-9.808,-9.8064,4757600.0
1985-02-11,-9.8036,-9.8024,-9.8036,-9.8036,12431200.0
1985-02-12,-9.8036,-9.803,-9.8069,-9.8069,8095200.0
1985-02-13,-9.8069,-9.8069,-9.8131,-9.8131,18835200.0
1985-02-14,-9.8131,-9.812,-9.8164,-9.8164,15268800.0
1985-02-15,-9.8164,-9.8142,-9.8175,-9.8147,6224000.0
1985-02-19,-9.8153,-9.8153,-9.8164,-9.8164,5391200.0
1985-02-20,-9.8164,-9.8158,-9.822,-9.822,7864800.0
1985-02-21,-9.8198,-9.8192,-9.8198,-9.8198,11035200.0
1985-02-22,-9.8198,-9.8153,-9.8198,-9.8164,8096000.0
1985-02-25,-9.8164,-9.8158,-9.8181,-9.8181,3564000.0
1985-02-26,-9.8181,-9.8175,-9.8203,-9.8203,6764800.0
1985-02-27,-9.8203,-9.8203,-9.8276,-9.8276,14421600.0
1985-02-28,-9.8276,-9.8276,-9.8292,-9.8292,11415200.0
1985-03-01,-9.8292,-9.8287,-9.8326,-9.8287,8857600.0
1985-03-04,-9.827,-9.8237,-9.827,-9.827,5484000.0
1985-03-05,-9.8242,-9.8242,-9.8242,-9.8242,4687200.0
1985-03-06,-9.8242,-9.8242,-9.8298,-9.8298,6933600.0
1985-03-07,-9.8298,-9.8292,-9.841,-9.841,26244000.0
1985-03-08,-9.841,-9.841,-9.8471,-9.8437,16931200.0
1985-03-11,-9.8404,-9.8399,-9.8404,-9.8404,10244800.0
1985-03-12,-9.837,-9.8359,-9.837,-9.837,7880000.0
1985-03-13,-9.837,-9.837,-9.8426,-9.8426,8973600.0
1985-03-14,-9.8426,-9.8421,-9.8426,-9.8426,8667200.0
1985-03-15,-9.8426,-9.8365,-9.8432,-9.8387,6524000.0
1985-03-18,-9.8376,-9.8365,-9.8376,-9.8376,4487200.0
1985-03-19,-9.8376,-9.8365,-9.8415,-9.8415,6147200.0
1985-03-20,-9.8404,-9.8387,-9.8404,-9.8404,14498400.0
1985-03-21,-9.8387,-9.837,-9.8387,-9.8387,5826400.0
1985-03-22,-9.8387,-9.837,-9.8404,-9.8404,2910400.0
1985-03-25,-9.8404,-9.8404,-9.8432,-9.8432,3931200.0
1985-03-26,-9.8393,-9.8393,-9.8393,-9.8393,4346400.0
1985-03-27,-9.8393,-9.8382,-9.8421,-9.8421,4008800.0
1985-03-28,-9.8421,-9.8404,-9.8421,-9.8421,4667200.0
1985-03-29,-9.8421,-9.8404,-9.8421,-9.841,3155200.0
1985-04-01,-9.841,-9.8387,-9.8432,-9.8432,4115200.0
1985-04-02,-9.8432,-9.8426,-9.846,-9.846,8146400.0
1985-04-03,-9.846,-9.8454,-9.846,-9.846,8681600.0
1985-04-04,-9.846,-9.8454,-9.8477,-9.8466,5792800.0
1985-04-08,-9.8466,-9.846,-9.8521,-9.8521,7129600.0
1985-04-09,-9.8521,-9.8516,-9.8521,-9.8521,9461600.0
1985-04-10,-9.846,-9.8449,-9.846,-9.846,8117600.0
1985-04-11,-9.8443,-9.8415,-9.8443,-9.8443,5260000.0
1985-04-12,-9.8443,-9.8443,-9.8471,-9.8466,2607200.0
1985-04-15,-9.8443,-9.8432,-9.8443,-9.8443,2168800.0
1985-04-16,-9.8432,-9.8426,-9.8432,-9.8432,2424800.0
1985-04-17,-9.8387,-9.8376,-9.8387,-9.8387,4402400.0
1985-04-18,-9.8376,-9.837,-9.8376,-9.8376,7246400.0
1985-04-19,-9.8376,-9.8376,-9.8399,-9.8393,3468800.0
1985-04-22,-9.8393,-9.8393,-9.8432,-9.8432,3700000.0
1985-04-23,-9.841,-9.8404,-9.841,-9.841,4261600.0
1985-04-24,-9.841,-9.8393,-9.8415,-9.8415,2830400.0
1985-04-25,-9.8415,-9.841,-9.8415,-9.8415,3135200.0
1985-04-26,-9.8415,-9.8387,-9.8421,-9.8421,4295200.0
1985-04-29,-9.8421,-9.8415,-9.8454,-9.8454,2256000.0
1985-04-30,-9.8449,-9.8443,-9.8449,-9.8449,3396000.0
1985-05-01,-9.8449,-9.8443,-9.8466,-9.8466,2075200.0
1985-05-02,-9.8477,-9.8477,-9.8538,-9.8538,11787200.0
1985-05-03,-9.8538,-9.8499,-9.8538,-9.8504,5673600.0
1985-05-06,-9.8504,-9.8493,-9.8516,-9.8516,2007200.0
1985-05-07,-9.8504,-9.8504,-9.8504,-9.8504,3844800.0
1985-05-08,-9.851,-9.851,-9.851,-9.851,5177600.0
1985-05-09,-9.8504,-9.8499,-9.8504,-9.8504,4571200.0
1985-05-10,-9.8504,-9.8482,-9.8504,-9.8493,4893600.0
1985-05-13,-9.8493,-9.8488,-9.8504,-9.8504,3157600.0
1985-05-14,-9.8504,-9.8499,-9.8516,-9.8516,4364000.0
1985-05-15,-9.8504,-9.8488,-9.8504,-9.8504,4668800.0
1985-05-16,-9.8443,-9.8415,-9.8443,-9.8443,8275200.0
1985-05-17,-9.8443,-9.841,-9.8449,-9.8426,7592800.0
1985-05-20,-9.8426,-9.8404,-9.8443,-9.8443,7044000.0
1985-05-21,-9.8449,-9.8449,-9.8471,-9.8471,5452800.0
1985-05-22,-9.8471,-9.8466,-9.8477,-9.8477,4342400.0
1985-05-23,-9.8482,-9.8482,-9.8516,-9.8516,8576000.0
1985-05-24,-9.8516,-9.8516,-9.8588,-9.8588,21060000.0
1985-05-28,-9.8599,-9.8599,-9.8644,-9.8644,18253600.0
1985-05-29,-9.8633,-9.8627,-9.8633,-9.8633,8808800.0
1985-05-30,-9.8611,-9.8599,-9.8611,-9.8611,11273600.0
1985-05-31,-9.8611,-9.8594,-9.8622,-9.8622,13235200.0
1985-06-03,-9.8638,-9.8638,-9.8683,-9.8683,20578400.0
1985-06-04,-9.8627,-9.8622,-9.8627,-9.8627,14373600.0
1985-06-05,-9.8627,-9.8605,-9.8644,-9.8644,10267200.0
1985-06-06,-9.8638,-9.8638,-9.8638,-9.8638,9688800.0
1985-06-07,-9.8638,-9.8638,-9.8666,-9.8666,16980000.0
1985-06-10,-9.8666,-9.8661,-9.8678,-9.8678,11296000.0
1985-06-11,-9.8678,-9.8661,-9.8678,-9.8678,10751200.0
1985-06-12,-9.8678,-9.8672,-9.8694,-9.8694,8888800.0
1985-06-13,-9.8694,-9.8688,-9.8733,-9.8733,13573600.0
1985-06-14,-9.8733,-9.8694,-9.8739,-9.8739,20226400.0
1985-06-17,-9.8733,-9.8728,-9.8733,-9.8733,8464000.0
1985-06-18,-9.8716,-9.8705,-9.8716,-9.8716,9489600.0
1985-06-19,-9.8699,-9.8688,-9.8699,-9.8699,6177600.0
1985-06-20,-9.8694,-9.8694,-9.8694,-9.8694,6822400.0
1985-06-21,-9.8678,-9.8661,-9.8678,-9.8678,5941600.0
1985-06-24,-9.8627,-9.8616,-9.8627,-9.8627,7387200.0
1985-06-25,-9.8616,-9.8599,-9.8616,-9.8616,10506400.0
