date,open,high,low,close,volume
1983-04-06,-12.9786,-12.904,-13.1129,-12.904,878600.0
1983-04-07,-12.904,-12.7697,-12.904,-12.8368,721800.0
1983-04-08,-12.8368,-12.6279,-13.0458,-12.904,1507800.0
1983-04-11,-12.904,-12.8368,-12.9786,-12.904,496700.0
1983-04-12,-12.9786,-12.904,-13.1129,-12.9786,259800.0
1983-04-13,-13.0458,-12.9786,-13.389,-13.3219,1645500.0
1983-04-14,-13.3219,-13.1801,-13.598,-13.2473,854800.0
1983-04-15,-13.1801,-13.1801,-13.4562,-13.3219,3490000.0
1983-04-18,-13.3219,-13.1801,-13.6651,-13.3219,3253500.0
1983-04-19,-13.3219,-12.9786,-13.4562,-13.2473,2688900.0
1983-04-20,-13.1129,-12.904,-13.1801,-13.0458,2042100.0
1983-04-21,-11.7399,-11.5981,-11.9414,-11.8742,7775000.0
1983-04-22,-11.9414,-11.1131,-11.9414,-11.531,3197500.0
1983-04-25,-11.5981,-11.2549,-12.0085,-11.8742,1772300.0
1983-04-26,-11.8742,-11.531,-12.2175,-11.5981,3803000.0
1983-04-27,-11.5981,-11.322,-11.9414,-11.6653,2917300.0
1983-04-28,-11.6653,-11.531,-11.8071,-11.6653,643000.0
1983-04-29,-11.7399,-11.5981,-11.9414,-11.8071,947900.0
1983-05-02,-11.9936,-11.9265,-12.1279,-11.9936,832000.0
1983-05-03,-11.9936,-11.9936,-12.2697,-11.9936,641100.0
1983-05-04,-11.9936,-11.8518,-12.1279,-11.9936,585500.0
1983-05-05,-11.9936,-11.8518,-12.2026,-12.2026,587400.0
1983-05-06,-12.1279,-11.9936,-12.613,-12.1279,3186600.0
1983-05-09,-12.1279,-12.0608,-12.3369,-12.2026,1129800.0
1983-05-10,-12.1279,-11.8518,-12.1279,-11.8518,620700.0
1983-05-11,-11.7847,-11.6504,-11.8518,-11.8518,1212400.0
1983-05-12,-11.7175,-11.4414,-11.7847,-11.4414,2964300.0
1983-05-13,-11.2996,-11.031,-11.4414,-11.2325,3215000.0
1983-05-16,-11.2996,-11.1653,-11.5086,-11.1653,966400.0
1983-05-17,-11.1653,-11.031,-11.2996,-11.2996,1602800.0
1983-05-18,-11.2325,-11.031,-11.3743,-11.3743,2810400.0
1983-05-19,-11.1653,-11.1653,-11.5086,-11.3743,1186300.0
1983-05-20,-11.2996,-11.2325,-11.8518,-11.5086,532400.0
1983-05-23,-11.6504,-11.3743,-11.7175,-11.4414,652500.0
1983-05-24,-11.4414,-11.2325,-11.5086,-11.3743,1053800.0
1983-05-25,-11.2325,-11.0982,-11.2996,-11.1653,795500.0
1983-05-26,-11.0982,-10.337,-11.0982,-10.4788,2339300.0
1983-05-27,-10.2699,-10.0609,-10.337,-10.2699,1049500.0
1983-05-31,-10.1281,-10.1281,-10.4042,-10.2699,1424700.0
1983-06-01,-10.2699,-10.0609,-10.337,-10.0609,1678800.0
1983-06-02,-9.9938,-9.7848,-10.0609,-9.7848,4126400.0
1983-06-03,-9.7848,-9.7848,-10.2027,-10.1281,1040000.0
1983-06-06,-9.9938,-9.9938,-10.337,-10.2027,507700.0
1983-06-07,-10.1281,-9.9938,-10.2699,-10.1281,709500.0
1983-06-08,-10.2027,-10.2027,-10.6803,-10.6131,616900.0
1983-06-09,-10.6803,-10.546,-10.8892,-10.6131,1115500.0
1983-06-10,-10.546,-10.4788,-10.7549,-10.546,951200.0
1983-06-13,-10.4042,-10.337,-10.4788,-10.4042,1133600.0
1983-06-14,-10.4042,-10.2699,-10.4788,-10.337,690000.0
1983-06-15,-10.4788,-10.4042,-10.6803,-10.546,340000.0
1983-06-16,-10.4042,-10.4042,-10.8221,-10.7549,1011500.0
1983-06-17,-10.7549,-10.7549,-10.8892,-10.7549,500100.0
1983-06-20,-10.6131,-10.546,-10.8892,-10.6131,1165400.0
1983-06-21,-10.4788,-10.2699,-10.6131,-10.2699,815900.0
1983-06-22,-10.1281,-10.0609,-10.2699,-10.1281,1084200.0
1983-06-23,-10.1281,-10.1281,-10.2699,-10.2027,771700.0
1983-06-24,-10.2027,-10.0609,-10.2699,-10.2027,710400.0
1983-06-27,-10.2027,-10.0609,-10.4042,-10.0609,346200.0
1983-06-28,-10.0609,-10.0609,-10.4042,-10.337,566100.0
1983-06-29,-10.2699,-10.0609,-10.4042,-10.337,432200.0
1983-06-30,-10.4788,-10.337,-10.6131,-10.4788,716600.0
1983-07-01,-10.6131,-10.337,-10.6131,-10.337,87900.0
1983-07-05,-10.337,-10.337,-10.4788,-10.4788,184300.0
1983-07-06,-10.337,-10.2699,-10.4788,-10.4788,484900.0
1983-07-07,-10.4042,-10.0609,-10.4788,-10.0609,1025800.0
1983-07-08,-10.0609,-9.9938,-10.4788,-10.4042,1155400.0
