date,open,high,low,close,volume
2019-06-03,22.66,23.12,20.49,20.93,19259630.0
2019-06-04,20.47,24.06,20.47,23.87,20135135.0
2019-06-05,23.66,24.34,22.58,24.13,10740207.0
2019-06-06,23.81,23.81,22.35,23.02,13986084.0
2019-06-07,22.29,23.05,21.84,22.43,10049260.0
2019-06-10,22.19,22.86,21.24,21.43,10247186.0
2019-06-11,21.13,21.48,20.65,21.07,11641364.0
2019-06-12,21.23,21.57,20.6,21.19,13392038.0
2019-06-13,21.18,21.31,20.82,21.09,9710759.0
2019-06-14,20.88,21.36,20.67,21.31,7036775.0
2019-06-17,21.65,23.02,21.57,22.07,13710322.0
2019-06-18,22.15,23.69,21.87,23.42,14485407.0
2019-06-19,23.6,23.6,22.99,23.27,10228757.0
2019-06-20,23.49,23.72,22.54,23.28,7727962.0
2019-06-21,22.99,23.83,22.99,23.33,12548904.0
2019-06-24,23.26,24.57,23.17,24.13,6495057.0
2019-06-25,24.14,24.21,23.6,23.79,6698570.0
2019-06-26,24.05,25.5,23.97,25.38,6735131.0
2019-06-27,25.5,26.45,25.38,25.69,5879610.0
2019-06-28,25.72,25.87,25.38,25.69,15517796.0
2019-07-01,25.7,26.87,25.07,25.8,5290363.0
2019-07-02,25.62,25.72,24.26,25.11,5438576.0
2019-07-03,24.9,25.02,24.32,24.92,2234906.0
2019-07-05,24.57,25.44,24.38,24.76,2888235.0
2019-07-08,24.51,24.51,23.76,23.89,3478698.0
2019-07-09,23.59,23.89,22.95,23.11,5286013.0
2019-07-10,22.93,23.12,22.56,22.62,5133693.0
2019-07-11,22.67,22.92,22.08,22.55,6066191.0
2019-07-12,22.54,23.85,22.38,23.72,5154558.0
2019-07-15,23.53,24.39,23.52,24.2,3443097.0
2019-07-16,24.05,24.62,23.84,23.98,3735879.0
2019-07-17,23.72,23.83,22.97,23.0,3999305.0
2019-07-18,22.7,23.1,22.53,22.77,3035241.0
2019-07-19,22.91,23.6,22.76,23.51,4694910.0
2019-07-22,23.46,23.97,23.33,23.88,2546126.0
2019-07-23,23.77,24.6,23.57,24.24,2921396.0
2019-07-24,23.89,24.64,23.75,24.44,2311843.0
2019-07-25,24.22,24.52,23.87,24.14,3532155.0
2019-07-26,23.84,24.64,23.77,24.6,3052703.0
