date,open,high,low,close,volume
2022-06-09,190.18,195.35,179.58,179.9,23501579.0
2022-06-10,178.94,179.0,170.92,171.47,27478354.0
2022-06-13,166.49,168.48,159.93,160.16,31749304.0
2022-06-14,161.93,162.65,157.26,159.63,27244274.0
2022-06-15,163.1,168.06,159.88,165.25,30008251.0
2022-06-16,159.62,160.98,155.51,156.77,26944143.0
2022-06-17,157.58,161.8,155.8,159.64,31374215.0
2022-06-21,161.83,163.66,151.87,152.95,50724899.0
2022-06-22,154.28,156.69,151.34,151.75,47596820.0
2022-06-23,152.17,155.65,150.15,154.65,40499198.0
2022-06-24,157.62,166.15,157.2,166.06,68736009.0
2022-06-27,167.22,167.65,163.91,165.39,29174559.0
2022-06-28,165.8,167.2,156.51,156.58,27788725.0
2022-06-29,159.47,162.23,156.22,159.84,28595236.0
2022-06-30,158.05,161.13,154.39,157.15,35250605.0
2022-07-01,156.21,156.52,150.9,155.93,31423933.0
2022-07-05,154.04,164.15,152.92,164.09,28664799.0
2022-07-06,164.1,167.49,161.36,165.67,23085921.0
2022-07-07,165.35,168.62,163.68,168.09,24083368.0
2022-07-08,165.88,168.3,164.05,166.78,19249243.0
2022-07-11,162.97,163.39,157.81,158.78,21905133.0
2022-07-12,160.7,161.81,158.0,159.17,16639659.0
2022-07-13,156.06,160.88,155.51,159.39,16555138.0
2022-07-14,157.12,158.49,153.18,153.95,23765168.0
2022-07-15,156.44,160.88,155.72,160.6,23342807.0
2022-07-18,162.65,167.59,161.54,163.13,23574337.0
2022-07-19,166.27,172.39,165.41,171.68,25933679.0
2022-07-20,173.39,179.5,172.6,178.99,24784274.0
2022-07-21,176.53,179.75,174.77,179.07,27195815.0
2022-07-22,168.97,171.5,164.31,165.17,42583916.0
2022-07-25,164.9,166.47,160.71,162.55,26166326.0
2022-07-26,161.84,161.9,153.85,155.05,28468424.0
2022-07-27,158.49,166.77,157.92,165.48,43846557.0
2022-07-28,156.96,157.41,150.75,156.62,73214326.0
2022-07-29,153.59,156.04,151.07,155.0,42065395.0
2022-08-01,153.15,161.09,151.13,155.83,40596702.0
2022-08-02,154.21,158.14,153.91,156.09,27374516.0
2022-08-03,158.59,165.44,157.47,164.7,31717527.0
2022-08-04,164.2,168.05,162.7,166.47,23938212.0
2022-08-05,162.89,167.51,161.7,163.01,25832701.0
2022-08-08,163.9,173.41,163.03,166.15,27299113.0
2022-08-09,164.85,165.43,162.5,164.43,18655056.0
2022-08-10,171.89,176.38,169.85,174.24,30262132.0
2022-08-11,175.61,179.0,172.27,173.39,24079062.0
2022-08-12,176.71,177.36,174.81,176.4,21274046.0
2022-08-15,174.86,177.34,174.1,176.79,15878671.0
2022-08-16,175.34,176.89,172.94,175.37,21156710.0
2022-08-17,172.66,174.04,170.07,170.75,20118133.0
2022-08-18,170.24,171.66,167.76,170.56,18844451.0
2022-08-19,166.1,168.22,162.95,163.86,26240799.0
2022-08-22,161.39,161.39,158.16,158.95,19499711.0
2022-08-23,158.38,160.95,156.6,157.01,18111777.0
2022-08-24,156.5,161.36,155.67,159.16,20891481.0
2022-08-25,161.08,164.78,159.92,164.68,15550514.0
2022-08-26,164.38,166.82,157.57,157.68,24023633.0
2022-08-29,156.56,158.95,154.91,155.07,20052661.0
2022-08-30,156.25,157.56,151.81,153.06,19567948.0
2022-08-31,162.97,163.74,158.04,158.83,40952975.0
2022-09-01,159.48,163.26,156.25,161.26,30145683.0
2022-09-02,163.35,163.83,155.12,156.22,22634191.0
2022-09-06,156.0,157.59,153.59,154.44,19339781.0
2022-09-07,153.66,156.86,152.71,156.29,16831182.0
2022-09-08,154.61,158.13,153.64,157.96,22530785.0
2022-09-09,159.15,165.44,158.92,165.05,22129802.0
2022-09-12,163.29,167.29,163.18,164.86,23220405.0
2022-09-13,157.44,157.53,148.57,149.03,44444061.0
2022-09-14,149.23,149.44,144.95,147.37,43064195.0
2022-09-15,145.7,150.1,144.6,145.45,34606348.0
2022-09-16,143.95,144.48,140.19,142.19,40122824.0
2022-09-19,141.14,144.48,141.0,143.92,22169477.0
2022-09-20,141.68,144.74,141.12,141.99,23217350.0
2022-09-21,142.29,145.5,137.9,138.02,38338614.0
2022-09-22,137.45,140.48,136.77,138.72,34418521.0
2022-09-23,137.32,138.52,134.79,136.31,31710685.0
2022-09-26,136.02,138.14,132.09,132.27,30497021.0
2022-09-27,133.82,135.32,130.02,130.3,30826471.0
2022-09-28,130.52,137.93,130.17,137.51,32658478.0
2022-09-29,135.26,135.74,131.1,132.31,38985414.0
2022-09-30,131.95,136.89,131.4,131.58,33166393.0
2022-10-03,133.04,135.52,132.0,134.51,27723063.0
2022-10-04,136.39,138.29,135.24,136.18,34670729.0
2022-10-05,134.14,136.11,130.68,134.88,27979348.0
2022-10-06,133.62,137.35,132.5,134.97,36231056.0
2022-10-07,132.66,134.19,128.34,129.35,33214773.0
2022-10-10,129.45,132.01,127.77,129.69,24023982.0
2022-10-11,127.52,128.56,122.89,124.44,38481403.0
2022-10-12,124.22,125.57,122.15,123.4,34605245.0
2022-10-13,119.43,127.04,118.43,126.19,34325715.0
2022-10-14,126.9,127.69,122.42,122.66,23559407.0
2022-10-17,126.2,130.69,126.08,129.94,29612245.0
2022-10-18,132.99,133.74,127.3,128.7,25444979.0
2022-10-19,128.79,132.9,128.12,129.13,30691047.0
2022-10-20,128.83,132.67,127.21,127.43,26356276.0
2022-10-21,122.21,126.02,121.34,125.91,46348647.0
2022-10-24,123.15,129.38,120.47,125.62,63563447.0
2022-10-25,126.78,134.25,126.49,133.41,38433219.0
2022-10-26,127.58,131.45,124.43,125.72,89294679.0
2022-10-27,93.88,98.4,92.28,93.84,232316571.0
2022-10-28,95.48,96.75,93.41,95.1,95928306.0
2022-10-31,94.12,95.22,88.5,89.06,121361444.0
2022-11-01,90.23,93.39,89.45,91.1,110189617.0
2022-11-02,90.11,91.1,86.38,86.44,71821058.0
2022-11-03,85.98,86.36,84.31,84.81,60664012.0
2022-11-04,86.25,87.29,83.99,86.69,55638061.0
2022-11-07,90.68,92.78,89.0,92.62,81987295.0
2022-11-08,91.82,93.7,90.69,92.37,52088320.0
2022-11-09,97.62,100.8,96.64,97.37,107677284.0
2022-11-10,103.02,108.65,100.51,107.77,80670961.0
2022-11-11,105.13,110.8,104.71,108.92,59961742.0
2022-11-14,106.89,112.17,106.7,110.12,53394974.0
2022-11-15,111.97,114.64,110.31,112.98,50670499.0
2022-11-16,110.4,111.98,108.56,109.13,33287773.0
2022-11-17,106.31,108.23,105.7,107.35,35093822.0
2022-11-18,109.7,110.22,106.52,107.95,33357707.0
2022-11-21,107.42,108.27,105.09,105.76,24351074.0
2022-11-22,105.76,107.52,104.22,107.34,29028963.0
2022-11-23,107.62,108.57,106.63,108.14,21343083.0
2022-11-25,107.2,108.63,106.92,107.31,12007566.0
2022-11-28,106.68,107.94,104.28,104.68,23332816.0
2022-11-29,105.44,106.84,104.44,105.36,23899238.0
2022-11-30,105.41,114.06,105.28,114.0,43348557.0
2022-12-01,115.1,117.1,114.3,116.34,36551374.0
2022-12-02,113.73,119.94,113.51,119.39,39950464.0
2022-12-05,117.65,120.57,117.25,118.33,35474884.0
2022-12-06,115.81,116.45,109.64,110.02,43689183.0
2022-12-07,109.66,111.78,108.78,109.83,29461137.0
2022-12-08,112.29,113.24,110.49,111.23,30619418.0
2022-12-09,111.2,113.44,109.77,111.8,26033353.0
2022-12-12,111.08,111.62,109.04,110.61,24747064.0
2022-12-13,118.03,119.2,114.54,116.05,44701054.0
2022-12-14,115.29,120.04,115.29,117.49,36922037.0
2022-12-15,114.23,114.53,109.91,112.05,34530970.0
2022-12-16,116.13,119.21,114.72,115.33,67064001.0
2022-12-19,112.73,113.7,110.23,110.38,29769875.0
2022-12-20,109.16,113.23,108.36,112.99,28742501.0
2022-12-21,112.6,116.24,111.52,115.66,20392799.0
2022-12-22,113.1,114.52,110.28,113.02,23618121.0
2022-12-23,111.93,114.08,111.44,113.94,17796625.0
2022-12-27,113.83,114.5,111.95,112.78,21392311.0
2022-12-28,112.15,114.05,111.41,111.52,19612473.0
2022-12-29,112.3,116.93,111.67,116.16,22366192.0
2022-12-30,114.06,116.32,113.64,116.24,19583825.0
2023-01-03,118.72,122.27,118.18,120.64,35528531.0
2023-01-04,123.28,124.95,121.75,123.27,32397094.0
2023-01-05,122.03,124.42,120.44,122.84,25447099.0
2023-01-06,124.87,126.23,121.94,125.92,27584498.0
2023-01-09,127.06,128.85,125.18,125.37,26649145.0
2023-01-10,123.17,129.34,123.05,128.89,28684431.0
2023-01-11,126.86,129.75,126.24,128.79,25423046.0
2023-01-12,129.34,133.58,127.66,132.61,30757732.0
2023-01-13,130.87,133.29,130.74,132.88,22423839.0
2023-01-17,132.08,132.65,130.15,131.26,21147587.0
2023-01-18,131.71,133.15,128.7,128.92,20215486.0
2023-01-19,128.39,133.35,128.04,132.05,28625232.0
2023-01-20,131.79,135.84,130.51,135.27,28688630.0
2023-01-23,135.19,139.66,134.56,139.17,27470093.0
2023-01-24,137.59,140.9,137.26,139.04,21970190.0
2023-01-25,137.12,139.07,136.21,137.4,26622021.0
2023-01-26,140.3,143.41,139.2,143.2,25482084.0
2023-01-27,144.14,149.09,143.29,147.64,35771865.0
2023-01-30,145.31,147.02,142.85,142.96,28040100.0
2023-01-31,143.85,145.78,143.42,144.87,29842109.0
2023-02-01,143.93,149.48,142.96,149.02,55661017.0
2023-02-02,179.28,193.06,176.06,184.67,150475687.0
2023-02-03,179.37,192.67,178.79,182.43,76809701.0
2023-02-06,182.43,186.6,181.42,181.96,42483811.0
2023-02-07,181.48,189.68,180.3,187.52,47080662.0
2023-02-08,185.9,186.73,178.82,179.33,36139074.0
2023-02-09,182.03,182.55,173.17,173.82,37118811.0
2023-02-10,172.25,174.79,169.25,170.05,33433567.0
2023-02-13,174.12,176.9,171.72,175.33,31463223.0
2023-02-14,173.06,177.41,171.78,175.38,24034631.0
2023-02-15,172.32,174.09,171.23,173.06,25337966.0
2023-02-16,168.65,171.75,167.69,168.34,25827473.0
2023-02-17,166.12,169.08,165.6,168.78,24171260.0
2023-02-21,170.21,174.07,167.78,167.98,34592582.0
2023-02-22,166.97,168.66,165.59,167.02,22433158.0
2023-02-23,167.9,169.59,165.28,167.94,20017779.0
2023-02-24,164.54,166.62,163.56,166.29,19791334.0
2023-02-27,167.78,169.02,164.96,165.44,19277002.0
2023-02-28,167.8,173.45,167.77,170.84,46051117.0
2023-03-01,170.49,173.75,168.95,169.32,30998380.0
2023-03-02,168.28,170.91,167.33,170.43,17360708.0
2023-03-03,174.82,182.52,172.95,181.15,45877692.0
2023-03-06,183.9,185.56,180.54,180.8,33209394.0
2023-03-07,184.9,186.26,179.91,180.41,36701495.0
2023-03-08,178.77,181.16,177.24,180.87,19432405.0
2023-03-09,182.25,184.83,176.2,177.59,26582750.0
2023-03-10,176.91,180.67,174.7,175.41,25665032.0
2023-03-13,173.86,179.68,170.72,176.8,24727969.0
2023-03-14,183.48,190.22,182.46,189.92,41642627.0
2023-03-15,188.85,193.68,186.74,193.65,42123552.0
2023-03-16,194.16,201.66,191.99,200.83,50819659.0
2023-03-17,196.46,197.8,191.33,191.51,50141098.0
2023-03-20,194.38,195.26,189.54,193.71,25186315.0
2023-03-21,199.1,199.45,193.85,198.06,31826952.0
2023-03-22,198.4,203.27,195.57,195.71,28477759.0
2023-03-23,198.74,203.78,198.05,200.18,27389669.0
2023-03-24,201.08,203.48,199.45,201.91,27733042.0
2023-03-27,200.71,201.76,197.26,198.74,18527184.0
