date,open,high,low,close,volume
2018-01-02,37.73,39.88,36.94,39.88,884344.0
2018-01-03,40.08,40.8,39.86,40.49,2581149.0
2018-01-04,40.82,41.03,40.09,40.68,1988429.0
2018-01-05,40.53,41.31,39.93,40.86,1618587.0
2018-01-08,40.52,40.62,38.92,38.97,1528205.0
2018-01-09,38.93,38.93,37.46,37.81,2346720.0
2018-01-10,37.66,38.03,36.69,37.03,1999143.0
2018-01-11,36.64,38.47,36.64,38.38,1908887.0
2018-01-12,38.34,38.74,38.04,38.56,1338360.0
2018-01-16,38.96,39.05,38.13,38.18,2165709.0
2018-01-17,38.14,38.42,37.82,37.94,1774968.0
2018-01-18,38.31,38.63,38.07,38.32,1280123.0
2018-01-19,38.33,38.43,38.01,38.13,1426292.0
2018-01-22,38.37,38.42,37.88,38.2,1189208.0
2018-01-23,38.13,39.09,38.04,38.81,2509144.0
2018-01-24,39.13,39.48,38.46,38.73,2602122.0
2018-01-25,38.84,39.01,38.1,38.18,1063919.0
2018-01-26,38.35,39.2,37.93,39.13,1517121.0
2018-01-29,38.7,39.2,38.63,38.82,1473669.0
2018-01-30,38.52,38.82,38.06,38.17,1569512.0
2018-01-31,38.24,38.37,37.33,37.47,1398273.0
2018-02-01,37.05,37.37,36.14,36.67,1170797.0
2018-02-02,36.0,36.15,34.97,35.11,2168859.0
2018-02-05,34.56,35.09,33.34,33.42,2333203.0
2018-02-06,31.38,32.5,25.54,31.99,4682784.0
2018-02-07,31.41,32.74,31.41,31.94,2941915.0
2018-02-08,31.49,31.72,30.11,30.18,3374176.0
2018-02-09,30.27,30.6,29.29,29.64,2729942.0
2018-02-12,29.96,30.96,29.77,30.68,1916780.0
2018-02-13,30.66,30.84,29.64,29.83,1469004.0
2018-02-14,29.66,30.01,29.27,29.67,2065528.0
2018-02-15,30.08,30.12,29.31,29.72,1841395.0
2018-02-16,29.67,29.93,29.31,29.55,1483482.0
2018-02-20,29.41,30.45,29.35,30.16,2341698.0
2018-02-21,30.36,33.33,30.13,32.21,3913506.0
2018-02-22,32.41,33.07,32.25,32.71,1925083.0
2018-02-23,33.21,35.8,33.17,35.45,3200597.0
2018-02-26,35.63,35.83,34.24,35.26,1992713.0
2018-02-27,35.04,36.2,34.52,34.76,2368852.0
2018-02-28,34.88,35.56,34.37,34.38,3481868.0
2018-03-01,34.63,35.23,33.96,34.62,1693264.0
2018-03-02,34.45,34.77,33.79,34.61,1453525.0
2018-03-05,34.48,37.4,34.38,36.93,2901693.0
2018-03-06,37.35,37.68,36.3,36.69,2910167.0
2018-03-07,36.27,36.87,35.33,36.17,2142962.0
2018-03-08,36.38,36.39,35.62,35.7,1707094.0
2018-03-09,36.13,38.88,35.77,37.28,4026781.0
2018-03-12,37.18,37.37,35.73,35.81,1823618.0
2018-03-13,35.98,36.3,35.56,35.68,1572457.0
2018-03-14,36.07,36.16,35.44,35.58,911397.0
2018-03-15,35.41,35.9,35.05,35.13,984404.0
2018-03-16,35.09,35.49,34.67,34.7,2547711.0
2018-03-19,34.39,34.55,33.57,33.85,1800490.0
2018-03-20,33.83,34.07,33.0,33.02,1298196.0
2018-03-21,33.38,34.21,33.22,33.72,1070503.0
2018-03-22,33.04,33.38,32.39,32.46,1482226.0
2018-03-23,32.63,33.33,32.09,32.12,1906414.0
2018-03-26,32.35,32.64,31.97,32.3,1766891.0
2018-03-27,32.51,33.13,32.03,32.34,1713596.0
2018-03-28,32.25,32.32,31.3,31.34,2085276.0
2018-03-29,31.71,33.1,31.42,32.79,2164825.0
2018-04-02,32.8,32.8,31.11,31.36,1370449.0
2018-04-03,31.42,31.71,30.83,31.3,1862351.0
2018-04-04,30.56,30.77,29.57,30.63,2576359.0
2018-04-05,30.85,31.99,30.68,31.63,1587833.0
2018-04-06,31.34,31.57,30.24,30.48,845009.0
2018-04-09,30.66,32.03,30.34,31.77,1598405.0
2018-04-10,32.44,32.92,32.22,32.28,1076071.0
