date,open,high,low,close,volume
2013-07-15,18.38,18.48,17.72,17.73,155896231.0
2013-07-24,18.86,19.04,18.78,18.87,19873366.0
2013-07-25,18.89,18.89,18.45,18.85,21024924.0
2013-07-26,18.84,19.08,18.64,19.02,17233484.0
2013-07-29,18.87,19.04,18.65,18.96,16105637.0
2013-07-30,19.08,19.19,18.97,19.03,18323754.0
2013-07-31,19.06,19.23,18.43,18.83,30368968.0
2013-08-01,19.1,19.31,18.88,19.23,15689793.0
2013-08-02,19.1,19.18,18.95,19.05,18526841.0
2013-08-05,19.07,19.38,19.03,19.26,11047493.0
2013-08-06,19.23,19.69,19.18,19.48,18168133.0
2013-08-07,19.25,19.48,19.16,19.3,17174293.0
2013-08-08,19.39,19.58,19.23,19.5,14110122.0
2013-08-09,19.39,19.59,19.18,19.4,11599181.0
2013-08-12,19.29,19.82,19.23,19.73,11638094.0
2013-08-13,19.87,19.94,19.59,19.73,12729078.0
2013-08-14,19.74,20.13,19.71,20.05,18712181.0
2013-08-15,19.72,19.72,19.02,19.21,19023429.0
2013-08-16,19.08,19.33,18.78,18.89,19397291.0
2013-08-19,18.88,19.18,18.49,18.54,13276718.0
2013-08-20,18.54,18.9,18.48,18.68,13607249.0
2013-08-21,18.67,19.1,18.58,18.78,11911158.0
2013-08-22,18.9,19.01,18.61,18.88,10271672.0
2013-08-23,18.86,19.14,18.25,18.25,26901803.0
2013-08-26,18.24,19.08,18.24,18.82,18715476.0
2013-08-27,18.13,18.68,18.08,18.26,15984807.0
2013-08-28,18.27,18.39,18.14,18.14,15840666.0
2013-08-29,18.05,18.45,18.04,18.18,13748165.0
2013-08-30,18.22,18.58,18.19,18.34,13807154.0
2013-09-03,18.65,18.84,18.3,18.5,14628124.0
2013-09-04,18.49,18.97,18.44,18.8,12863461.0
2013-09-05,18.86,19.0,18.64,18.74,11345855.0
2013-09-06,18.78,18.94,18.33,18.68,12608523.0
2013-09-09,18.79,19.37,18.73,19.23,12094471.0
2013-09-10,19.28,19.47,19.23,19.34,15485750.0
2013-09-11,19.35,19.7,19.22,19.5,19582753.0
2013-09-12,19.49,19.59,19.22,19.27,16187315.0
2013-09-13,19.32,19.35,18.83,18.94,17555353.0
2013-09-16,19.32,19.63,19.26,19.45,25316864.0
2013-09-17,19.47,19.91,19.41,19.74,20147446.0
2013-09-18,19.69,20.39,19.61,20.35,36917893.0
2013-09-19,20.12,20.48,19.73,20.37,63208644.0
2013-09-20,20.42,20.61,20.15,20.53,49694712.0
2013-09-23,20.28,20.82,20.23,20.42,26201472.0
2013-09-24,20.31,20.37,20.07,20.12,18587116.0
2013-09-25,20.24,20.57,20.18,20.35,19503032.0
2013-09-26,20.46,20.74,20.17,20.29,15582152.0
2013-09-27,20.11,20.43,19.99,20.26,14022378.0
2013-09-30,19.97,20.01,19.52,19.65,24894103.0
2013-10-01,19.68,20.03,19.54,19.98,16071022.0
2013-10-02,19.79,20.2,19.74,20.16,19206188.0
2013-10-03,20.01,20.15,19.56,19.72,15042098.0
2013-10-04,19.78,20.09,19.66,19.81,15041859.0
2013-10-07,19.46,19.84,19.39,19.44,14004921.0
2013-10-08,19.43,19.52,18.87,18.97,23513999.0
2013-10-09,19.05,19.05,18.6,18.79,19557276.0
2013-10-10,19.08,19.6,18.94,19.59,21237637.0
2013-10-11,19.68,19.98,19.54,19.86,13860361.0
2013-10-14,19.61,19.95,19.49,19.88,12840208.0
2013-10-15,19.74,19.86,19.3,19.35,20482382.0
2013-10-16,19.51,19.8,19.49,19.62,16274685.0
2013-10-17,19.22,19.65,19.11,19.47,22741904.0
2013-10-18,19.35,19.59,19.15,19.5,17420786.0
2013-10-21,19.83,20.0,19.43,19.55,16504002.0
2013-10-22,19.69,19.74,19.45,19.5,19704202.0
2013-10-23,19.46,19.49,19.03,19.3,24502991.0
2013-10-24,19.34,19.85,19.33,19.67,24409063.0
2013-10-25,19.81,20.09,19.61,19.75,19663822.0
2013-10-28,19.84,20.06,19.69,19.74,16211979.0
2013-10-29,19.84,20.33,19.84,20.31,15778141.0
2013-10-30,20.42,20.55,20.02,20.13,14887217.0
2013-10-31,20.1,20.51,20.04,20.1,16120386.0
2013-11-01,20.3,20.42,20.03,20.13,15031965.0
2013-11-04,20.3,20.36,20.06,20.31,12629533.0
2013-11-05,20.15,20.29,20.01,20.1,11043184.0
2013-11-06,20.26,20.94,20.22,20.67,24976910.0
2013-11-07,20.78,21.06,20.54,20.6,16951872.0
2013-11-08,20.52,20.95,20.36,20.95,13905459.0
2013-11-11,20.91,21.23,20.88,20.97,11403081.0
2013-11-12,21.06,21.45,20.87,21.3,16060518.0
2013-11-13,21.2,21.6,21.19,21.6,14550778.0
2013-11-14,20.77,21.17,20.66,20.98,25528581.0
2013-11-15,20.96,21.53,20.91,21.52,21311671.0
2013-11-18,21.48,21.73,21.42,21.53,15065114.0
2013-11-19,21.59,21.59,21.23,21.36,14386787.0
2013-11-20,21.44,21.57,21.27,21.35,12088727.0
2013-11-21,21.44,21.65,21.31,21.54,11656079.0
2013-11-22,21.42,21.56,21.27,21.43,13804438.0
2013-11-25,21.52,21.56,21.2,21.38,14729097.0
2013-11-26,21.29,21.76,21.21,21.53,24754553.0
2013-11-27,21.66,22.0,21.62,21.89,16041744.0
2013-11-29,21.7,22.02,21.64,21.89,11848811.0
2013-12-02,21.97,21.99,21.56,21.68,20111030.0
2013-12-03,21.59,21.71,21.44,21.67,16455909.0
2013-12-04,21.5,21.78,21.42,21.67,19921024.0
2013-12-05,21.77,21.77,21.42,21.45,20766532.0
2013-12-06,21.75,22.11,21.7,22.08,15554209.0
2013-12-09,22.08,22.35,22.0,22.2,16721398.0
2013-12-10,22.02,22.07,21.37,21.4,25371393.0
2013-12-11,21.55,21.66,21.02,21.16,17090783.0
2013-12-12,20.45,20.49,19.89,20.2,30525656.0
2013-12-13,20.26,20.3,19.82,19.83,18124069.0
2013-12-16,20.0,20.48,19.95,20.14,20832653.0
2013-12-17,20.23,20.39,19.98,20.23,21747576.0
2013-12-18,20.47,21.36,20.3,21.2,36961763.0
2013-12-19,22.12,23.56,22.1,23.2,62496201.0
2013-12-20,23.25,23.39,22.97,22.97,40213624.0
2013-12-23,23.13,23.62,23.12,23.53,17954976.0
2013-12-24,23.56,23.98,23.48,23.92,9669056.0
2013-12-26,23.93,24.35,23.9,24.29,11512634.0
2013-12-27,24.49,24.82,24.38,24.58,15371473.0
2013-12-30,24.55,24.71,24.41,24.59,11650049.0
2013-12-31,24.54,24.94,24.48,24.86,11637172.0
2014-01-02,24.38,24.63,24.15,24.44,17773800.0
2014-01-03,24.37,24.58,24.28,24.34,11664197.0
2014-01-06,24.36,24.52,24.13,24.19,14822013.0
2014-01-07,24.38,24.65,24.22,24.57,16660290.0
2014-01-08,24.51,24.63,24.28,24.44,15885720.0
2014-01-09,24.57,24.57,24.18,24.37,13615803.0
2014-01-10,24.47,24.86,24.31,24.83,15306081.0
2014-01-13,24.67,24.91,24.42,24.47,20848292.0
2014-01-14,24.5,24.97,24.43,24.93,13349620.0
2014-01-15,24.92,25.29,24.84,25.13,16964104.0
2014-01-16,25.11,25.49,24.89,25.01,13451110.0
2014-01-17,24.84,25.19,24.75,24.93,13819658.0
2014-01-21,25.24,25.24,24.52,24.83,13469577.0
2014-01-22,24.75,25.0,24.67,24.7,13965574.0
2014-01-23,24.89,24.98,24.65,24.87,14028707.0
2014-01-24,24.64,24.68,23.83,23.83,26847614.0
2014-01-27,23.98,24.09,23.21,23.21,19031889.0
2014-01-28,23.32,23.85,23.3,23.82,13883906.0
