date,open,high,low,close,volume
2011-01-26,1.6473,1.6587,1.6067,1.65,1078933.0
2011-01-27,1.6493,1.672,1.6353,1.6613,895155.0
2011-01-28,1.6587,1.6587,1.5833,1.6007,1043121.0
2011-01-31,1.6033,1.608,1.5667,1.6067,829812.0
2011-02-01,1.6207,1.6487,1.5693,1.594,707791.0
2011-02-02,1.6107,1.612,1.5773,1.596,569472.0
2011-02-03,1.588,1.5933,1.5433,1.5753,509017.0
2011-02-04,1.5627,1.578,1.548,1.564,543617.0
2011-02-07,1.5507,1.5507,1.5253,1.538,895011.0
2011-02-08,1.5853,1.6833,1.5333,1.6327,3504583.0
2011-02-09,1.6087,1.612,1.5193,1.5473,2633662.0
2011-02-10,1.5507,1.576,1.5207,1.5473,818220.0
2011-02-11,1.55,1.5833,1.5293,1.55,634472.0
2011-02-14,1.576,1.6093,1.5367,1.5387,1280993.0
2011-03-25,1.4953,1.5333,1.4933,1.5167,567922.0
2011-03-28,1.5133,1.5687,1.5033,1.55,1057268.0
2011-03-29,1.5533,1.6,1.5473,1.5947,753291.0
2011-03-30,1.6073,1.6327,1.534,1.5807,1218561.0
2011-03-31,1.77,1.914,1.7667,1.85,11283081.0
2011-04-01,1.83,1.8787,1.7713,1.7773,2864205.0
2011-04-04,1.7887,1.8,1.682,1.722,2607605.0
2011-04-05,1.7267,1.8,1.7127,1.78,3149476.0
2011-04-06,1.7993,1.8007,1.72,1.766,1278747.0
2011-04-07,1.79,1.8627,1.7633,1.816,2807716.0
2011-04-08,1.8387,1.84,1.7573,1.766,1943572.0
2011-04-11,1.7647,1.7687,1.668,1.6847,1368850.0
2011-04-12,1.672,1.6807,1.62,1.6433,1356601.0
2011-04-13,1.6753,1.7127,1.654,1.662,1209894.0
2011-04-14,1.658,1.6853,1.6133,1.676,983382.0
2011-04-15,1.71,1.7453,1.694,1.7053,942901.0
2011-04-18,1.6753,1.708,1.624,1.6687,1032371.0
2011-04-19,1.684,1.684,1.6433,1.6773,548393.0
2011-04-20,1.7133,1.7393,1.6867,1.7167,835169.0
2011-04-21,1.7233,1.7987,1.706,1.7827,1382239.0
2011-04-25,1.78,1.782,1.7313,1.7593,797739.0
2011-04-26,1.7773,1.8167,1.754,1.7953,1366232.0
2011-04-27,1.7953,1.824,1.7753,1.8053,993101.0
2011-04-28,1.8047,1.846,1.7813,1.844,1641685.0
2011-04-29,1.846,1.858,1.828,1.84,721954.0
2011-05-02,1.84,1.8533,1.804,1.83,780524.0
2011-05-03,1.8253,1.826,1.7667,1.7913,911765.0
2011-05-04,1.7853,1.8,1.7167,1.7793,937843.0
2011-05-05,1.8133,1.8293,1.7447,1.7627,1218349.0
2011-05-06,1.7933,1.8467,1.7747,1.808,977232.0
2011-05-09,1.8,1.8667,1.79,1.8607,910153.0
2011-05-10,1.8827,1.93,1.8607,1.8887,1530818.0
2011-05-11,1.88,1.886,1.7947,1.8047,960078.0
2011-05-12,1.8047,1.8493,1.7767,1.8447,626140.0
2011-05-13,1.8667,1.8787,1.82,1.8367,661367.0
2011-05-16,1.866,1.866,1.77,1.7733,753122.0
2011-05-17,1.8,1.8,1.7147,1.7307,1233156.0
2011-05-18,1.74,1.7647,1.7013,1.7567,729407.0
2011-05-19,1.802,1.896,1.7733,1.88,2653467.0
2011-05-20,1.884,1.8853,1.8233,1.8647,840634.0
2011-05-23,1.8413,1.8413,1.7747,1.788,863448.0
2011-05-24,1.8013,1.8333,1.7733,1.7813,613553.0
2011-05-25,1.7933,1.934,1.7447,1.932,4687059.0
2011-05-26,1.9213,1.984,1.8733,1.9653,3335626.0
2011-05-27,1.9693,1.978,1.9213,1.97,1676519.0
2011-05-31,1.9793,2.0187,1.97,2.0093,3278846.0
2011-06-01,2.0,2.0067,1.892,1.9007,1527755.0
2011-06-02,1.9133,1.954,1.9053,1.9133,1589715.0
2011-06-03,1.9967,2.1,1.9667,2.0087,6206484.0
2011-06-06,2.0067,2.0087,1.884,1.9133,2328182.0
2011-06-07,1.9293,1.9593,1.884,1.8913,1220899.0
2011-06-08,1.896,1.9067,1.8013,1.808,1695836.0
2011-06-09,1.8287,1.8733,1.8067,1.8413,1597920.0
2011-06-10,1.8347,1.886,1.8233,1.8573,1565532.0
2011-06-13,1.8713,1.9253,1.8587,1.8953,1709853.0
2011-06-14,1.9027,1.98,1.9013,1.9067,1571900.0
2011-06-15,1.896,1.8967,1.8047,1.8213,1339051.0
2011-06-16,1.8447,1.8667,1.716,1.7667,1829409.0
2011-06-17,1.7913,1.8467,1.7427,1.7667,1713486.0
2011-06-20,1.7527,1.764,1.7,1.734,1537709.0
