,rsi,rsi_21,rsi_28,macd,signal,histogram,ema_10,ema_20,ema_50,ema_60,ema_200,atr,adx,momentum_5,momentum_10,momentum_20,volatility_20
rsi,1.0,0.9768437791218924,0.934529890618378,0.5955577737925007,0.4845741116792352,0.46138283756262294,-0.03877575911506091,-0.05229831987480814,-0.07081933023697563,-0.07373704466800227,-0.08082940975544521,-0.15031056528871223,0.3249133401990194,0.5075300201861859,0.4017136647007509,0.5284811534579789,-0.061804365775412415
rsi_21,0.9768437791218924,1.0,0.9874994424688093,0.6295640802105623,0.5537334329329269,0.36124670213767934,-0.033922291803814356,-0.047647909819295245,-0.06962463188082117,-0.07362061368638768,-0.08699288829675958,-0.16379554200620075,0.37716510689109883,0.4537122453943238,0.5986211858861349,0.5786825052953349,-0.049145884196445264
rsi_28,0.934529890618378,0.9874994424688093,1.0,0.6251827746357351,0.5729652305067212,0.28834673635228064,-0.03425431776954492,-0.04757243017213002,-0.07113211237515397,-0.07582010562671615,-0.09435217124472196,-0.17219550708683956,0.3896527113266316,0.4224324637470024,0.558633356100785,0.651691872318325,-0.10276981956840991
macd,0.5955577737925007,0.6295640802105623,0.6251827746357351,1.0,0.9517851707080653,0.3534876986520428,0.2305471022590523,0.21070002454825013,0.17710114879700165,0.17110485911453088,0.15235726462463123,0.015834861745481238,0.2546311793807997,0.09302550753039317,0.12806551914971676,0.25342048241865966,-0.16082362259279806
signal,0.4845741116792352,0.5537334329329269,0.5729652305067212,0.9517851707080653,1.0,0.0494840107025517,0.2595399885987734,0.24200759174102252,0.20601443766093375,0.1989316974738903,0.17326471070151453,0.034442435463495485,0.28564706539065443,0.025723299125777838,0.07088751567947457,0.21226087657570863,-0.17825487437542317
histogram,0.46138283756262294,0.36124670213767934,0.28834673635228064,0.3534876986520428,0.0494840107025517,1.0,-0.04081037542845,-0.0519663693786172,-0.05160227353998707,-0.04952730362679796,-0.0322982471913307,-0.05346558384105218,-0.04196754614706037,0.22442860026467518,0.20078755688903507,0.17783954014071718,0.019929251279906284
ema_10,-0.03877575911506091,-0.033922291803814356,-0.03425431776954492,0.2305471022590523,0.2595399885987734,-0.04081037542845,1.0,0.9997852452334991,0.9984008713404362,0.9979112508858218,0.9930128421586053,0.9037593935116939,-0.019228564464333058,-0.07103479941687854,-0.07462331375927683,-0.10759452905594674,-0.3464706116090467
ema_20,-0.05229831987480814,-0.047647909819295245,-0.04757243017213002,0.21070002454825013,0.24200759174102252,-0.0519663693786172,0.9997852452334991,1.0,0.9992491870864312,0.9988610168620069,0.9942083815214169,0.907326882069803,-0.023976019464662653,-0.07395403776577829,-0.07820775426796907,-0.11372003971058085,-0.3448521686079443
ema_50,-0.07081933023697563,-0.06962463188082117,-0.07113211237515397,0.17710114879700165,0.20601443766093375,-0.05160227353998707,0.9984008713404362,0.9992491870864312,1.0,0.9999522214373389,0.996822868362705,0.9141095013572222,-0.03626845819697492,-0.07594316329540178,-0.08143861842992736,-0.12186763564985403,-0.34098888022777635
ema_60,-0.07373704466800227,-0.07362061368638768,-0.07582010562671615,0.17110485911453088,0.1989316974738903,-0.04952730362679796,0.9979112508858218,0.9988610168620069,0.9999522214373389,1.0,0.9974360088631717,0.9153641802844384,-0.03897497536353987,-0.07606777149774946,-0.08176402040391975,-0.12301861157571738,-0.34013476506861196
ema_200,-0.08082940975544521,-0.08699288829675958,-0.09435217124472196,0.15235726462463123,0.17326471070151453,-0.0322982471913307,0.9930128421586053,0.9942083815214169,0.996822868362705,0.9974360088631717,1.0,0.9164087548095248,-0.04864078420776045,-0.07469047395202237,-0.08111197829036985,-0.12473806264935276,-0.3348568943827357
atr,-0.15031056528871223,-0.16379554200620075,-0.17219550708683956,0.015834861745481238,0.034442435463495485,-0.05346558384105218,0.9037593935116939,0.907326882069803,0.9141095013572222,0.9153641802844384,0.9164087548095248,1.0,-0.05444649365458345,-0.08492648431975666,-0.0881557779495913,-0.14799771430837186,-0.2287323920084335
adx,0.3249133401990194,0.37716510689109883,0.3896527113266316,0.2546311793807997,0.28564706539065443,-0.04196754614706037,-0.019228564464333058,-0.023976019464662653,-0.03626845819697492,-0.03897497536353987,-0.04864078420776045,-0.05444649365458345,1.0,0.0350864671282396,0.07623632320279723,0.14989447051425125,-0.097601894860849
momentum_5,0.5075300201861859,0.4537122453943238,0.4224324637470024,0.09302550753039317,0.025723299125777838,0.22442860026467518,-0.07103479941687854,-0.07395403776577829,-0.07594316329540178,-0.07606777149774946,-0.07469047395202237,-0.08492648431975666,0.0350864671282396,1.0,0.560313724303114,0.3499787046415241,0.08667221844021732
momentum_10,0.4017136647007509,0.5986211858861349,0.558633356100785,0.12806551914971676,0.07088751567947457,0.20078755688903507,-0.07462331375927683,-0.07820775426796907,-0.08143861842992736,-0.08176402040391975,-0.08111197829036985,-0.0881557779495913,0.07623632320279723,0.560313724303114,1.0,0.535866280643046,0.2159774927386819
momentum_20,0.5284811534579789,0.5786825052953349,0.651691872318325,0.25342048241865966,0.21226087657570863,0.17783954014071718,-0.10759452905594674,-0.11372003971058085,-0.12186763564985403,-0.12301861157571738,-0.12473806264935276,-0.14799771430837186,0.14989447051425125,0.3499787046415241,0.535866280643046,1.0,0.4482118019441462
volatility_20,-0.061804365775412415,-0.049145884196445264,-0.10276981956840991,-0.16082362259279806,-0.17825487437542317,0.019929251279906284,-0.3464706116090467,-0.3448521686079443,-0.34098888022777635,-0.34013476506861196,-0.3348568943827357,-0.2287323920084335,-0.097601894860849,0.08667221844021732,0.2159774927386819,0.4482118019441462,1.0
