factor,ic_1d,ic_ir_1d,ic_3d,ic_ir_3d,ic_5d,ic_ir_5d,ic_10d,ic_ir_10d,max_abs_ic,effective_windows,effective_any
rsi,-0.00237944445172912,-1.30695806897635,-0.014940042661456427,-1.4921064865767115,-0.02276250972935706,-1.5055078461090419,-0.015730846035967205,-1.5545392124494768,0.02276250972935706,,False
rsi_21,-0.0077831613601509414,-1.4130252278471607,-0.014494500400818658,-1.59411276114767,-0.013595581066810138,-1.5944431567338693,-0.005425331300667458,-1.6151976905441354,0.014494500400818658,,False
rsi_28,-0.005229121358024521,-1.4808301236227286,-0.013996370958345402,-1.6560228505474663,-0.01756064028163732,-1.6482173411598033,-0.010900239294175766,-1.6537473950866373,0.01756064028163732,,False
macd,-0.014957320866228321,-1.3181836956276205,-0.02222489248644679,-1.2834824773790805,-0.024560074191900344,-1.2155901903718351,-0.02228587003756108,-1.0145528161108963,0.024560074191900344,,False
signal,-0.012579954445142113,-0.925165599151255,-0.01892856474539713,-0.8045342728295644,-0.021693579146376436,-0.6873699610816522,-0.022656898471665896,-0.5038920671161364,0.022656898471665896,,False
histogram,-0.010316472181638595,-1.0386697123627284,-0.01456452493894121,-1.050635105300343,-0.013692115345075945,-1.0169529957750783,-0.0032680362044023616,-0.9701448798424674,0.01456452493894121,,False
ema_10,-0.0407183564338399,-1.3449310493424316,-0.06562751960933062,-1.3046448579970837,-0.07828823065458172,-1.2093447766970156,-0.0849118747722625,-0.9920214729961987,0.0849118747722625,"3d,5d,10d",True
ema_20,-0.04056320153815738,-1.1149787364610437,-0.06542998822721784,-1.057717519264262,-0.07811204247358368,-0.9486833555181727,-0.0848634145501032,-0.7090506544068009,0.0848634145501032,"3d,5d,10d",True
ema_50,-0.04031574508184254,-0.8077232306305041,-0.06506501004507771,-0.7305184210972764,-0.07770028982443104,-0.6242415228555461,-0.08449309105959467,-0.4417724421694717,0.08449309105959467,"3d,5d,10d",True
ema_60,-0.040225848240438726,-0.7484224504003318,-0.06491753800416031,-0.672483226422768,-0.07751926552381702,-0.5700455570071942,-0.08430562789705241,-0.39516801107371435,0.08430562789705241,"3d,5d,10d",True
ema_200,-0.03901743635975008,-0.3856990710489168,-0.06289101644017718,-0.33923128379512824,-0.0750149790725528,-0.2918322687683621,-0.0816623488274351,-0.20198496596949564,0.0816623488274351,"3d,5d,10d",True
atr,-0.03176221112463406,0.22443983962550695,-0.05376354383938915,0.21275684786499185,-0.0674051740698052,0.15848284268925011,-0.09656887207757014,0.050370530777290826,0.09656887207757014,"3d,5d,10d",True
adx,0.015605867710842304,-0.05708721256306092,0.018874662417616664,-0.06601435499565436,0.015852536507334446,-0.06800659367479156,-0.0033288332650680454,-0.10367354471177828,0.018874662417616664,,False
momentum_5,-0.01236412629463321,-0.6885672239397618,0.0155138479110917,-0.8544374012085694,0.05709240846759648,-0.9221210893031052,-0.07969701399235704,-1.1561932421473164,0.07969701399235704,"5d,10d",True
momentum_10,-0.031222193174781497,-1.005097260629526,-0.06071001178849042,-1.1286966249937704,-0.05616218484719863,-1.124091459771095,-0.03995651172931328,-1.1199562535056935,0.06071001178849042,"3d,5d",True
momentum_20,0.0412693750134456,-0.9244470290726319,0.08155140118877001,-0.9599606155718647,0.06369131034148373,-0.941635782551348,0.03601616049958968,-0.9379394799841931,0.08155140118877001,"3d,5d",True
volatility_20,0.055135777381817644,0.1689414871625466,0.11556225591170416,0.15582654049125405,0.15343565117752164,0.10252377741653237,0.21258962655308097,0.055023590821168825,0.21258962655308097,"1d,3d,5d,10d",True
