entry_date,exit_date,entry_price,exit_price,position_size,holding_days,gross_return
1984-09-10,1984-09-11,9.822,9.8198,1.0,1,-0.0002239869680308315
1984-09-12,1984-09-13,9.8231,9.817,1.0,1,-0.0006209852286955808
1984-09-24,1984-10-18,9.8209,9.8253,1.0,18,0.0004480241118431927
1984-11-09,1984-11-27,9.8359,9.8298,1.0,11,-0.0006201771063145678
1985-01-08,1985-01-10,9.8147,9.8058,1.0,2,-0.0009068030607151112
1985-01-17,1985-03-21,9.8142,9.8387,1.0,44,0.0024963827922805937
1985-04-08,1985-04-10,9.8521,9.846,1.0,2,-0.0006191573370144532
1985-05-02,1985-05-16,9.8538,9.8443,1.0,10,-0.0009640950699222328
1985-05-24,1985-06-20,9.8588,9.8694,1.0,18,0.0010751815636791395
1985-07-22,1985-08-20,9.8644,9.8716,1.0,21,0.0007298974088643106
1985-09-30,1985-10-14,9.8694,9.8655,1.0,10,-0.00039516080004864396
1985-11-18,1985-12-04,9.851,9.8482,1.0,11,-0.00028423510303532407
1985-12-05,1985-12-17,9.8499,9.8477,1.0,8,-0.00022335252134542127
1986-01-10,1986-01-14,9.8382,9.8359,1.0,2,-0.00023378260250861427
1986-01-22,1986-02-07,9.8354,9.8326,1.0,12,-0.00028468593041464096
1986-02-10,1986-02-19,9.8332,9.8281,1.0,6,-0.000518651100353984
1986-03-03,1986-03-18,9.8298,9.8198,1.0,11,-0.001017314696128091
1986-04-03,1986-04-17,9.8192,9.8103,1.0,10,-0.0009063874857422327
1986-05-02,1986-05-05,9.8036,9.7963,1.0,1,-0.0007446244236809507
1986-05-29,1986-07-03,9.7745,9.7717,1.0,25,-0.0002864596654560403
1986-07-07,1986-07-14,9.7807,9.7779,1.0,5,-0.00028627807825598595
1986-07-15,1986-08-11,9.784,9.7902,1.0,19,0.0006336876533115099
1986-09-03,1986-09-23,9.7846,9.7784,1.0,14,-0.0006336487950452385
1986-09-29,1986-10-13,9.7946,9.7851,1.0,10,-0.0009699222020297382
1986-10-20,1986-10-27,9.7929,9.7879,1.0,5,-0.0005105739872763859
1986-11-19,1986-11-24,9.7835,9.7701,1.0,3,-0.0013696529871723984
1986-12-15,1987-01-07,9.7533,9.7399,1.0,15,-0.0013738939640941528
