entry_date,exit_date,entry_price,exit_price,position_size,holding_days,gross_return,forced_exit
1985-10-16,1987-10-19,9.8594,9.6138,1.0,507,-0.024910237945514058,
1988-03-03,1989-12-11,9.5245,9.589,1.0,449,0.006772009029345494,
1990-03-16,1990-08-22,9.58,9.6257,1.0,110,0.004770354906054264,
1990-11-12,1991-05-01,9.6157,9.5174,1.0,117,-0.010222864690038191,
1991-08-13,1992-06-16,9.4615,9.4993,1.0,213,0.003995138191618786,
1992-10-26,1993-02-16,9.4792,9.4657,1.0,77,-0.0014241708161026878,
1993-05-20,1993-06-09,9.4144,9.5438,1.0,13,0.013744901427600098,
1993-10-21,1994-04-14,9.6688,9.6575,1.0,121,-0.0011687075955649773,
1994-07-29,1995-03-14,9.6379,9.6261,1.0,157,-0.0012243331016094094,
1995-05-12,1995-09-15,9.5491,9.6182,1.0,87,0.007236284047711372,
1995-11-14,1995-12-18,9.568,9.6506,1.0,23,0.008632943143812799,
1997-08-01,1997-10-24,9.7672,9.7907,1.0,59,0.0024060119583912964,
1998-01-06,2000-09-29,9.7694,9.4787,1.0,690,-0.029756177452044064,
2001-12-05,2002-06-11,9.7264,9.7558,1.0,128,0.0030227011021550787,
2002-11-04,2008-01-23,9.7878,4.9717,1.0,758,-0.4920513292057459,
2008-04-07,2008-09-09,4.371,4.5214,1.0,108,0.034408602150537426,
2009-03-23,2010-10-15,6.0935,1.3022,1.0,397,-0.7862968737178961,
2012-11-02,2013-08-02,10.675,6.8925,1.0,187,-0.3543325526932085,
2015-07-09,2016-03-22,21.3175,18.37,1.0,177,-0.13826668230327188,
2016-04-27,2016-07-28,16.145,17.9175,1.0,64,0.10978631155156404,
2016-11-14,2017-01-09,18.545,21.865,1.0,37,0.17902399568616856,
2018-02-02,2018-05-09,32.8575,39.73,1.0,66,0.20916076999163047,
2018-11-20,2019-03-13,37.6825,39.0475,1.0,75,0.03622371127181068,
2019-05-31,2019-10-21,37.58,54.1325,1.0,99,0.4404603512506653,
2020-02-27,2020-06-05,62.77,77.47,1.0,69,0.23418830651585143,
2021-02-25,2021-06-30,116.2,132.39,1.0,87,0.13932874354561098,
2022-09-30,2023-02-02,134.75,147.6,1.0,85,0.09536178107606674,
2023-08-07,2023-11-16,176.1,187.44,1.0,72,0.06439522998296421,
2024-01-04,2024-05-15,179.64,187.94,1.0,91,0.046203518147406086,
2025-01-21,2025-08-08,221.61,228.83,1.0,138,0.0325797572311719,
2026-01-06,2026-01-21,262.36,247.65,1.0,10,-0.056067998170452826,True
