entry_date,exit_date,entry_price,exit_price,position_size,holding_days,gross_return
1984-09-10,1984-09-11,9.822,9.8198,1.0,1,-0.0002239869680308315
1984-09-12,1984-09-13,9.8231,9.817,1.0,1,-0.0006209852286955808
1984-09-24,1984-10-23,9.8209,9.8237,1.0,21,0.000285106252991163
1984-10-25,1984-11-06,9.827,9.8225,1.0,8,-0.0004579220514907556
1984-11-08,1984-11-28,9.8292,9.8242,1.0,13,-0.0005086883978351331
1984-11-30,1984-12-04,9.8292,9.8287,1.0,2,-5.086883978355772e-05
1985-02-13,1985-09-12,9.8131,9.8678,1.0,146,0.005574181451325266
1985-09-13,1985-09-18,9.8694,9.8672,1.0,3,-0.00022291122054030055
1985-09-25,1985-10-10,9.8688,9.8688,1.0,11,0.0
1986-07-08,1986-07-09,9.7868,9.7851,1.0,1,-0.0001737033555401224
1986-07-16,1986-07-22,9.7902,9.7851,1.0,4,-0.0005209290923576804
1986-07-23,1986-08-11,9.7874,9.7902,1.0,13,0.00028608210556435587
1986-09-11,1986-09-16,9.7941,9.784,1.0,3,-0.0010312330893088584
1986-09-17,1986-09-22,9.7868,9.7824,1.0,3,-0.00044958515551540845
1986-09-25,1986-10-13,9.7857,9.7851,1.0,12,-6.131395812258855e-05
1986-10-14,1986-10-27,9.7879,9.7879,1.0,9,0.0
1986-10-28,1986-10-30,9.7907,9.7868,1.0,2,-0.00039833719754456265
1987-07-08,1987-07-13,9.6071,9.5781,1.0,3,-0.0030186008264723174
1987-08-03,1987-08-04,9.5803,9.5625,1.0,1,-0.0018579793952172574
1987-10-16,1987-12-16,9.5089,9.5892,1.0,42,0.008444720209487944
1988-01-08,1988-01-11,9.5825,9.5602,1.0,1,-0.0023271588833810863
1988-01-20,1988-01-25,9.5848,9.5747,1.0,3,-0.0010537517736415314
1988-01-26,1988-01-28,9.5848,9.5714,1.0,2,-0.0013980469076035895
1988-02-03,1988-02-10,9.587,9.5736,1.0,5,-0.0013977260874099562
1988-03-23,1988-04-26,9.5602,9.5691,1.0,23,0.0009309428673041076
1988-04-28,1988-05-03,9.5702,9.5669,1.0,3,-0.0003448203799293337
1988-05-06,1988-05-31,9.5713,9.5691,1.0,16,-0.00022985383385754066
1988-07-21,1988-07-29,9.5557,9.5434,1.0,6,-0.0012871898448046926
