entry_date,exit_date,entry_price,exit_price,position_size,holding_days,gross_return
1984-11-16,1984-11-23,9.8359,9.8337,1.0,4,-0.0002236704317856164
1985-02-28,1985-03-05,9.8292,9.8242,1.0,3,-0.0005086883978351331
1985-05-03,1985-05-16,9.8504,9.8443,1.0,9,-0.0006192641923170594
1985-05-30,1985-06-03,9.8611,9.8683,1.0,2,0.000730141667765194
1985-07-30,1985-08-07,9.8672,9.8733,1.0,6,0.0006182098264959635
1985-08-08,1985-08-12,9.8722,9.8728,1.0,2,6.077672656545907e-05
1985-09-30,1985-10-01,9.8694,9.8694,1.0,1,0.0
1985-10-07,1985-10-11,9.8728,9.8683,1.0,4,-0.000455797747346276
1987-10-21,1987-10-23,9.5781,9.6227,1.0,2,0.0046564558732944406
1987-12-03,1987-12-07,9.6673,9.645,1.0,2,-0.002306745420127654
1988-04-04,1988-04-06,9.5937,9.5669,0.5,2,-0.0027934999009766592
1988-08-23,1988-08-24,9.5869,9.5758,0.5,1,-0.001157829955460099
1988-08-31,1988-09-02,9.5835,9.5847,0.5,2,0.0001252152136483886
1988-09-06,1988-09-08,9.5924,9.5936,0.5,2,0.0001250990367374083
1988-10-07,1988-10-20,9.5847,9.5691,1.0,9,-0.001627593977902242
1988-10-27,1988-11-04,9.5914,9.6025,1.0,6,0.0011572867360343242
1988-11-22,1988-11-23,9.617,9.6103,1.0,1,-0.0006966829572632172
1988-11-25,1988-11-29,9.6137,9.6114,0.5,2,-0.0002392419151835412
1989-02-01,1989-02-03,9.5891,9.5891,0.5,2,0.0
1989-02-06,1989-02-07,9.5958,9.5913,0.5,1,-0.0004689551678859205
1989-02-08,1989-02-15,9.598,9.6159,0.5,5,0.0018649718691392536
1989-12-08,1989-12-11,9.5667,9.589,1.0,1,0.002331002331002363
1990-08-10,1990-08-13,9.5934,9.5833,1.0,1,-0.0010528071382409632
1990-08-21,1990-08-22,9.6157,9.6257,0.5,1,0.0010399658891189212
1991-05-06,1991-05-07,9.4906,9.4872,0.5,1,-0.00035824921501281803
1991-06-13,1991-06-14,9.563,9.572,0.5,1,0.0009411272613195631
1991-06-17,1991-06-18,9.5642,9.563,0.5,1,-0.00012546789067557906
