type,reason,count,pct_of_base
entry_block,trend_filter,1083,0.3
entry_block,strength_filter,1215,0.3365650969529086
entry_block,rsi_filter,649,0.17977839335180054
entry_block,macd_filter,1874,0.5191135734072022
entry_block,factor_score_entry,2075,0.574792243767313
entry_block,score_percentile_low,2176,0.602770083102493
exit_reason,factor_score_drop,9,0.1267605633802817
exit_reason,rsi_breach,29,0.4084507042253521
exit_reason,macd_dead,7,0.09859154929577464
exit_reason,stop_loss,4,0.056338028169014086
exit_reason,strength_filter_fail,9,0.1267605633802817
exit_reason,entry_score_fail,6,0.08450704225352113
exit_reason,score_percentile_low,19,0.2676056338028169
