month,avg_monthly_return,median_monthly_return,win_rate,months
1,0.0015356475004178888,0.0,0.0625,16
2,-0.0026970871850247047,0.0,0.06666666666666667,15
3,0.002639811932867649,0.0,0.06666666666666667,15
4,-0.00548409486271441,0.0,0.0,15
5,0.0038873001691890636,0.0,0.26666666666666666,15
6,0.0037997640223465636,0.0,0.26666666666666666,15
7,0.003175818684492926,0.0,0.13333333333333333,15
8,0.00872265162454003,0.0,0.3333333333333333,15
9,-0.008064430420504871,0.0,0.125,16
10,0.0002748793174442918,0.0,0.3125,16
11,0.0025318460383063485,0.0,0.25,16
12,0.014051315117307478,0.0,0.3125,16
